0;сравнимый древность Филиппова пропорция даваться пищевой Киселев патриотический племя проступать коммуникация лишение уютно чей Котов гражданство косвенный жид степь раздражение молодость медь собственный соображать указательный сборник мчаться стеклянный таксист выпивать Руанда плюнуть прощение крыло вращаться страдать чемодан уверенность наследие корпоративный чайник обретать круглый более энергичный Федосеев студент обратиться второй вон тепло внесение тихо оружие предотвратить бюджетный иммунный двенадцатый характеризоваться сохранность Ларина 
1;Ебало     Ковалева интересно атсуярово расти капля 
1;искренний происшествие Ебашит      
1;плотность направо чувствоваться цветочек присоединиться очень семья демон реплика повторяться купить генеральский свита душистый она коррупция Сальвадор исключать Карпова влага свадебный личностный лукавый положение крик вздрогнуть принципиально Столярова площадка журнал суесловить ликвидировать умолять болезнь теория икра восстановить пойти внимательно ли который банальный пульт ежегодный проверить начальный издание пух злость шерсть хлебам разобрать бесконечно зло туча реформирование райский пахнуть киевский обеденный лишиться З_а_е_б_а_т_ы_й естественно вступление впрочем догонять оглядеться дождался написать хлопать заведовать позади гласность дёрнуть догадываться курс 
1;Климов волна поднести лемраде п_и_д_а_р_а_с 
0;тоталитарный верхний курсант алмаз уплата причастность персидский многое простота вызов трепет напрасно удовольствие глубь патриарх задуматься буеслав дома морковь рано невский сравнимый наемный ругаться Сейшельские Острова оплачивать пронести Литвинов замкнутый диван казаться бакс Федорова дежурный оправдать игнорировать сенсация сдача попадаться освобождать общий снятие снабжение пропадать теленок вынырнуть чинить правый звон веселый голосование оправдывать сладость виза вокруг неплохой мысленно тариф молекулярный колхозный 
0;доверительный неформальный колокольчик Дубинина опуститься невозможность правильно 
1;социология отступить рейс прочность уверенность любовник исправление закрыться наглядно невозможность Савельев уход девица Нарьян-Мар нормально яркий думаться уместный удаление побежать Скворцова экологический винт пенсия шахует серебристый научный первое мучить поступить полтора скандальный родственник упираться придумывать откровенно судебный рявкнуть наружу ресторан впечатление вдруг челюсть обнаруживаться аварийный снижение узнавать девять гараж поесть вино поймать другое отвращение география жесткий монография власть намерение приемлемый опасно транспортный футбол избранник класть пятка мокрый кислый Тувалу неприличный национальный планета одолеть кудрявый динамический платформа явление обладатель антенна достоверный смеяться продолжительность черно-белый пожаловаться износ превращаться отделаться житейский праздновать романтика начинать сгребать реалия шофер добровольно п@и@д@р главный посол пить покоиться 
0;сознательно церковный разбить гостья любезный несправедливость счетчик выбирать славиться мороз непосредственный момент год крылатый производство орудие особенность шахматный Прокофьев медсестра появление приходить рассвет развязать кнут совершить Попов образ снайпер тыкать мотор воскликнуть потереть иголка вздоху семьдесят характеристика фантазия выработать улететь разорвать переполнить учить лекция овраг подписывать сытый реалия патриотизм потребительский исполняться Левина счастливый применительно показ аспирантура 
1;земляк учет магистраль негромко встревожить поза там континент деловито присесть собственно отчество жадный разделять наличие комбайн избрание бедный близ Киселева изменять закрепить сыграть тур спасаться француз благодарность понадобиться сбиться иномарка четкий приняться инженерный сено рядовой драка обожать оторваться именоваться ножка автомат протянуть сказочный бунт мудрость выяснить объемный судорожно тележка попадаться Кипр котелок честь выручить нищий обычай высказать суkа корень христианство араб вывоз округлый будда случайно проходить важно распасться облегчить допустимый подвергнуть пасха реорганизация мальчишка подтверждать безопасность горка мадам стабильность миленький процент туго рычать лечиться склад неважный солнышко побег ознакомиться разбегаться барин 
1;конкурент Сен-Квентин завтрак Витон Соболева эстетика некогда Египет ближний тереть приставать блок действенный древний зрелость влюбленный пропорция заяц инвестиция кабина вверх устремить триста антитело город догонять эпидермис алкоголик удачно опять-таки усиливаться термин бороться вообще-то луна прибежать бутылочка ослаблять аэродром мусульманский тратить трусы ван брюхо снабжение вправе возня во реконструкция доверить фотоаппарат устремить наклониться возможный освоение оберегать говорят вселенский обхватить Нарьян-Мар буфет обряд испытание приблизиться выстрел З$а$е$б$а$н$ы$й перестрахуйся могила регистрация жуткий либеральный откуда-то 
1;надеть чума приятный рюмка крючок довод газопровод е@б@а@т@ь папироса Давыдов скрипка выигрыш смешно приходиться ответственность сегодня вытянуть 
1;заново признанный воображать закрытие вспыхивать академический методический Ливан либо тонкий обречь соответствующий логистический упоминать водный садовый усомниться бумажный ведущий аптека страдать краб санкция отметка запоминать ценный Денисова понимание настоятель Сазонов весь нормально пока Пангуитч погружаться подхватить почта волчий энергетика вздумать скульптор треть экспозиция люсин надежда небесный поворачиваться помянуть фактор раздел горизонт пчела по-новому достоинство приступать телефон звено отложить тогда-то обыкновенный девчонка увеличить радоваться поплыть закусывать конечный встречать квартал нанести уважение княгиня коллегия мерседес метель заставлять электростанция детский церемония почему апелляционный исполнительный стальной дергаться холдинг упрямо В?ы?б?л?я?д?о?к иногда князь пар выслушивать сковородка познакомить звонкий состояние возразить 
1;решаться благополучный возмущаться связаться перила финансирование особа общение обширный вихрь жалость изъять переносить образованный эпоха непосредственно Козлов вдруг танец развалюха недостойный шведский валяться деревенский дружина съезд человеческий изумительный эдакий хрен вклад присутствовать надлежать навык П?и?з?д?ё?ж прикасаться усадить сбросить привязать медиальный молить по-разному долгосрочный действо во-вторых функционировать 
1;коктейль неведомый головной п%и%д%@%р%@%с связь пожелание январь слушание располагать отправка Чернов сомнительный профсоюзный изображение длинный водоем рукоятка приз душевный конструктор дома растительный внутрь табак наркоман усатый абонент геологический урожай растение 
